Nom,adresse,Code postal,Ville,Téléphone,Email,Site web,Texte complémentaire Codelico,Liste de catégories,Type,Pays,urlImg
Association foyer notre dame,5 rue jacob mayer,67200,Strasbourg,03 88 27 54 80,Cada.xxxxx@foyernotredame.org,Http://www.foyernotredame.org,"500 places réparties sur 2 sites (cada nord et cada ouest). accueil de demandeurs d'asile en logements situés sur la cus. durée : le temps de la procédure jusqu'à obtention du statut de réfugié, ou du rejet de la demande d'asile à la cnda. admission à l'aide sociale liée à la procédure. accompagnement juridique aux différentes étapes de la procédure. accompagnement social, médical et administratif. accès aux droits. scolarisation des enfants. gestion des sorties de centre. public : familles et personnes isolées. eurométropole. tous les jours de 8h30 à 12h et de 13h30 à 17h","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/hébergement pour migrants",Association,Fr,
Association foyer notre dame,55 rue giobert,67000,Strasbourg,03 88 27 22 77,Cir@foyernotredame.org,Http://www.foyernotredame.org,"Centre d'insertion pour réfugiés - cir suivi social global, insertion sociale, professionnelle et locative. organisme agréé pour l'instruction des demandes de rsa.","Insertion, accompagnement social, accompagnement social",Association,Fr,
Association foyer notre dame,7 rue st michel,67000,Strasbourg,03 88 14 12 44,Pada@foyernotredame.org,Http://www.foyernotredame.org,"Plateforme départementale d'accueil, d'information, d'orientation et de domiciliation. orientation vers les cada locaux ou nationaux sur décision de l'ofii. accès aux droits. aide à la constitution des dossiers ofpra. demandeurs d'asile primo-arrivants non hébergés en structures. accueil du public : permanence les lundi et jeudi de 9h à 11h30, ou sur rdv. domiciliation postale - remise du courrier : aux personnes seules le mercredi de 9h à 11h30, aux familles le vendredi de 9h à 11h30","Insertion, accompagnement social, accès aux droits",Association,Fr,
Association foyer notre dame * pada 67 - plateforme d'accueil pour demandeurs d'asile,7 rue st michel,67000,Strasbourg,03 88 14 12 44,Pada@foyernotredame.org,Http://www.foyernotredame.org,"Demandeurs d'asile primo-arrivants non hébergés en structures. domiciliation postale - remise du courrier : aux personnes seules le mercredi de 9h à 11h30, aux familles le vendredi de 9h à 11h30","Insertion, accompagnement social, domiciliation",Association,Fr,
Association foyer notre dame - pada 67 - plateforme d'accueil pour demandeurs d'asile,7 rue st michel,67000,Strasbourg,03 88 14 12 44,Pada@foyernotredame.org,Http://www.foyernotredame.org,"Plateforme départementale d'accueil, d'information, d'orientation et de domiciliation. orientation selon modalités convenues vers partenaires. demandeurs d'asile primo-arrivants non hébergés en structures sans ressources. départemental","Vie quotidienne, alimentation, aide alimentaire",Association,Fr,
Association foyer notre dame centre d'insertion pour réfugiés - cir,55 rue gioberti,67200,Strasbourg,03 88 27 22 77,Cir@foyernotredame.org,Http://www.foyernotredame.org,"Centre provisoire d'hébergement cph. 100 places agréées. logements diffus. orientation par l’office français de l’immigration et de l’intégration (ofii) puis entretien d’admission. accompagnement global, insertion sociale, locative et professionnelle. personnes vulnérables bénéficiaires d’une protection internationale : statut de réfugié ou protection subsidiaire, familles ou personnes isolées, jeunes de moins de 25 ans. eurométropole de strasbourg et département du bas-rhin. lundi, mardi, mercredi et jeudi 8h30 - 12h30 et 14h - 18h. vendredi 14h - 17h.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/hébergement pour migrants",Association,Fr,
Association foyer notre dame pada 67,7 rue st michel,67000,Strasbourg,03 88 14 12 44,Pada@foyernotredame.org,Http://www.foyernotredame.org,"Plateforme d'accueil pour demandeurs d'asile. accueil, information, d'orientation. orientation vers les cada locaux ou nationaux sur décision de l'ofii. accès aux droits. aide à la constitution des dossiers ofpra. demand. d'asile primo-arrivants non hébergés en structures. accueil : permanence les lundi et jeudi de 9h à 11h30, ou sur rdv",Lieu d'accueil et d'orientation,Association,Fr,
Association foyer notre dame service d'urgence au centre lyautey hébergement en logements,2 rue de gribeauval,67100,Strasbourg,03 88 84 58 16,Lyautey@foyernotredame.org,Http://www.foyernotredame.org,"Nombre de places :106 places en logements. orientation offi. hébergement accompagnement social des hébergés. présence éducative du lundi au vendredi 8h30-18h. demandeurs d'asile primo-arrivants, isolés ou en famille, en attente d'une entrée en huda. ouvert 24h/24h.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/hébergement pour migrants",Association,Fr,
Association d'accueil et d'hébergement pour les jeunes,20 rue aristide briand,67100,Strasbourg,03 88 61 98 08,,Http://www.aahj.org,"380 places en appartement, en diffus. accès via le siao. familles étrangères aux droits incomplets, en attente de régularisation des droits. 9h-17h.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/hébergement pour migrants",Association,Fr,
Au tacos,2 rue de châtenois,67000,Strasbourg,,,,Tous les jours à 14h30 puis 21h,"Carillon, toilettes, robinet, pain, panier, café",Entreprise,Fr,
Bou'sol,1 rue de la vieille ile,67500,Haguenau,03 88 06 59 74,Bousol@agglo-haguenau.fr,Http://la-bousol.fr/,"Mise à disposition de produits de première nécessité à 10% de leurs prix (30% pour les produits d'hygiène). ateliers pédagogiques collectifs. accompagnement individuel par un travailleur social. demandes d’accès instruites par les travailleurs sociaux (ccas, utams, cpam...) référents. commission interne 1/mois. habitants de haguenau et de schweighouse sur moder horaires d’ouverture et présence des travailleurs sociaux : du lundi au vendredi 8h30 - 12h et 13h30 - 17h.","Vie quotidienne, alimentation, épicerie solidaire",Association,Fr,
Barco latino,Angle passerelle giacomeg - presqu’île andré malraux,67000,Strasbourg,,,,Du dimanche au mardi de 17h à 21h,"Carillon, robinet, charger téléphone, sos, pain, discuter, pharmacie, toilettes",Entreprise,Fr,
Barr entraide,5 rue des tanneurs,67100,Barr,06 81 07 36 83,Barrentraide.kissenberger@gmail.com,,"Colis alimentaires, après avis de l'assistante sociale ou du ccas de la ville de barr. le mardi de 15h à 17h.","Vie quotidienne, alimentation, aide alimentaire",Association,Fr,
Bio konopia,15 rue de la course,67000,Strasbourg,,,,Du mardi au samedi de 10h à 18h30,"Carillon, batterie, robinet, couteau-suisse, monnaie, sos, discuter, téléphone, bagages",Entreprise,Fr,
Bistrot paulu,33 rue de zurich,67000,Strasbourg,,,,Horaires d’ouverture du commerce,"Carillon, internet, sos, batterie, toilettes, pain, robinet, discussion, café",Entreprise,Fr,
Bistrot et chocolat,8 rue de la râpe,67000,Strasbourg,,,,"Du lundi au vendredi, 14h-15h45","Carillon, internet, sos, robinet, batterie, repas, café",Entreprise,Fr,
Boulangerie jf,14 rue finkwiller,67000,Strasbourg,,,,Horaires de la boumque. a partir de 18h50 pour les invendus,"Carillon, sos, robinet, batterie, pain, panier",Entreprise,Fr,
Boutique alimentaire,Ancien bâtiment de la douane route de schweigen,67100,Wissembourg,03 88 53 44 98,Episocwissembourg@orange.fr,Http://episocwissembourg.free.fr,"Mise à disposition de produits de première nécessité (alimentation, hygiène) à 10% de leur prix. ateliers pédagogiques collectifs. accompagnement individuel par un travailleur social. dossier d'admission instruit et géré par le ccas des communes partenaires. habitants de wissembourg, de riedseltz, de rott et de toute autre commune adhérant à la convention de partenariat. accueil du public sur rdv le mardi et le jeudi toute la journée. ouverture de l'épicerie le vendredi (journée).","Vie quotidienne, alimentation, épicerie solidaire",Association,Fr,
Bretz’selle,10 rue des bouchers,67000,Strasbourg,,,,Horaires de la boutique.,"Carillon, sos, robinet, toilettes, informations, téléphone, discussion, micro-ondes",Entreprise,Fr,
Bureau d'accès au logement - bal,29 rue saint charles,67300,Strasbourg,03 88 81 45 77,Bal@solidarite.fvdp.org,,"Accompagner des personnes en situation de précarité dans leur projet de relogement en parc privé. conseille, informe, accompagne et met en relation les locataires et propriétaires pour finaliser les projets de location. pas d'accès direct : candidatures présentées par un travailleur social. permanence hebdomadaire au ccas de strasbourg (mercredi 13h30/16h30) ou prendre rdv au service. personnes ou familles à revenus modestes (public pdalpd) dont les ressources sont suffisantes pour envisager une recherche en parc privé (travailleurs pauvres, bénéficiaires de l’aah/invalidité, salariés en insertion avec complémt rsa activité, demandeurs d’emploi, retraités","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement// accompagnement social lié au logement",Association,Fr,
Caf - permanence administrative de bouxwiller,Maison de l’intercommunalité et des services associatifs et socio-économiques 10 route d’obermodern,67300,Bouxwiller,,,,Le jeudi de 9h à 11h30. uniquement sur rendez-vous (voir accueil administratif sur rdv),"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - permanence administrative de drulingen,Maison des services 6 bis rue weyer -,67300,Drulingen,,,,Le mardi de 14h à 16h.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - permanence administrative de molsheim,Mairie de molsheim - salle bugatti - 17 place de l'hôtel de ville,67100,Molsheim,,,,Le vendredi de 9h à 11h30.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - permanence administrative de obernai,Centre socioculturel arthur rimbaud 2 avenue de gail -,67200,Obernai,,,,Le vendredi de 14h à 16h.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - permanence administrative de sarre-union,Maison des services 14 rue vincent d'indy -,67200,Sarre-union,,,,Le mardi de 9h à 12h.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - permanence administrative de saverne,Locaux de la cpam 73 grand rue -,67700,Saverne,,,,Le lundi et mercredi de 9h à 12h et de 13h30 à 16h.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - permanence administrative de schirmeck,Passerelle d’avenir bruche 9 place du marché,67100,Schirmeck,,,,Le jeudi de 9h à 12h et de 13h30 à 16h.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - point d'accueil de schiltigheim,2 avenue pierre mendès france,67300,Schiltigheim,,,,Du lundi au jeudi de 8h30 à 12h et de 13h à 16h30.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - point d'accueil de strasbourg-hautepierre,Maille eléonore 20 boulevard la fontaine,67200,Strasbourg,,,,Du lundi au jeudi de 8h30 à 12h et de 13h à 16h30.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Caf - point d'accueil de sélestat,1 rue des jardiniers,67600,Sélestat,,,,Du lundi au jeudi de 8h30 à 12h et de 13h à 16h30.,"Insertion, accompagnement social, la caisse d'allocations familiales",Groupe gouvernemental,Fr,
Cirdd - alsace,8 rue gustave adolphe hirn,67000,Strasbourg,03 90 40 54 30,Contact@cirddalsace.fr,Http://www.cirddalsace.fr,"Centre d'info. régional sur les drogues et les dépendances information, documentation, formation, appui méthodologique et conseil en prévention des addictions et conduites à risques. professionnels. sur rdv. accueil téléphonique du lundi au vendredi, de 9h à 16h30. (non actualisé)",Accueil et service médicalisés / addictologie,Association,Fr,
Cpam accueil de bischwiller,48 rue georges clémenceau,67200,Bischwiller,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de cronenbourg,27 rue herschel,67000,Strasbourg,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de erstein,23 rue des sheds,67100,Erstein,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de mutzig,4 rue de l'eglise,67100,Mutzig,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de neuhof,16 rue de l'indre,67000,Strasbourg,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de niederbronn-les-bains,5 place du bureau central,67100,Niederbronn-les-bains,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de sarre-union,14 rue vincent d'indy,67200,Sarre-union,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de saverne,16 rue du zornhoff,67700,Saverne,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de schiltigheim - galerie centre commercial auchan,89 route de bischwiller,67300,Schiltigheim,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de schirmeck,125 avenue de la gare,67100,Schirmeck,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam accueil de la meinau,49 rue de la canardière,67000,Strasbourg,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam agence de haguenau,17 rue du maréchal joffre,67500,Haguenau,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam agence de illkirch-graffenstaden,2 rue du vieux moulin,67400,Illkirch-graffenstaden,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam agence de selestat,2 avenue schweisguth,67600,Selestat,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam agence de strasbourg,16 rue de lausanne,67000,Strasbourg,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Cpam agence de wissembourg,15 route de la pépinière,67100,Wissembourg,,,,,"Santé, la caisse primaire d'assurance maladie du bas-rhin",Groupe gouvernemental,Fr,
Caisse primaire d'assurance maladie,21 rue de genève,67000,Strasbourg,03 88 76 86 66,,,Clinique dentaire. sur rdv de 7h30 à 12h30 et de 13h30 à 18h (vendredi 17h).,"Santé, accueil et service médicalisés, soins dentaires",Groupe gouvernemental,Fr,
Caritas alsace,1 rue de la vieille ile,67500,Haguenau,06 46 90 42 25,Caritashaguenau54@gmail.com,,"Vente à petits prix d'habits, chaussures et textiles. samedi de 14h à 16h. le 1er mercredi du mois de 14h à 16h","Vie quotidienne, hygiène, vestiaire",Association,Fr,
Caritas alsace,Antenne arc en ciel 13 rue de l'arc-en-ciel,67000,Strasbourg,03 88 36 76 67,Permanence.arcenciel@caritas-alsace.org,Http://www.caritas-alsace.org,"Espace rencontre : petits déjeuners pour toutes personnes. tout public via l'établissement d'une carte d'accès. lundi, mardi, mercredi, jeudi, vendredi, de 8h à 9h30, toute l'année. samedi de 9h à 10h30, d'octobre à mai. dimanche de 9h à 10h30, de novembre à mi-avril.","Vie quotidienne, alimentation, restauration",Association,Fr,
Caritas alsace,,67200,Hochfelden,06 80 50 69 61,,,"Vestiaire pour les personnes en difficulté. bourses aux vêtements à très petits prix, 1 fois par trimestre. 5 bourses aux vêtements par an ouvertes à tous. pas de permanence. contact : 06 80 50 69 61","Vie quotidienne, hygiène, vestiaire",Association,Fr,
Caritas alsace * antenne arc en ciel,3 rue de l'arc-en-ciel,67000,Strasbourg,03 88 36 76 67,Permanence.arcenciel@caritas-alsace.org,Http://www.caritas-alsace.org,"Domiciliation. présence d’interprètes. public : sdf dans le cadre d'un accompagnement de caritas, demandeurs d'asile non pris en charge. lundi, mercredi et vendredi de 10h15 à 12h","Insertion, accompagnement social, domiciliation",Association,Fr,
Caritas alsace antenne arc en ciel,13 rue de l'arc-en-ciel,67000,Strasbourg,03 88 36 76 67,Permanence.arcenciel@caritas-alsace.org,Http://www.caritas-alsace.org,"Accueil café, écoute, information, orientation, aides, relais vers d'autres organismes. dans la limite de la capacité d'accueil. tout public. du lundi au vendredi 10h - 12h et 14h - 16h30 sauf vendredi après-midi.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace antenne arc en ciel,13 rue de l'arc-en-ciel,67000,Strasbourg,03 88 36 76 67,Permanence.arcenciel@caritas-alsace.org,Http://www.caritas-alsace.org,Vestiaire d'urgence / vente à petit prix. tout public. ems du mardi au jeudi de 14h à 16h30.,"Vie quotidienne, hygiène, vestiaire",Association,Fr,
Caritas alsace antenne arc en ciel,13 rue de l'arc-en-ciel,67000,Strasbourg,03 88 36 76 67,Permanence.arcenciel@caritas-alsace.org,Http://www.caritas-alsace.org,"Accompagnement budgétaire, micro-crédit et surendettement en lien avec un travailleur social. lundi 14h-16h30 sur rdv. - aide dans la lecture et rédaction documents administratifs : lundi, mercredi et vendredi de 10h15 à 12h. présence d’interprètes. - accompagnement social en vue de l’accès aux droits, aux aides matérielles et financières, orientation : du lundi au jeudi de 14h à 16h30 - sur rdv. présence d’interprètes. - accompagnement de personnes en recherche d’emploi pour tout public avec autorisation de travail : mardi 9h - sans rdv.","Insertion, accompagnement social, accompagnement social",Association,Fr,
Caritas alsace antenne arc en ciel,13 rue de l'arc-en-ciel,67000,Strasbourg,03 88 36 76 67,Permanence.arcenciel@caritas-alsace.org,Http://www.caritas-alsace.org,Apprentissage de la langue française. public d'adultes. sur rdv et suite à un entretien d’accompagnement,"Insertion, accompagnement social, alphabétisation",Association,Fr,
Caritas alsace antenne arc en ciel,Idem,67000,Strasbourg,,,,Produits d'hygiène et cartes de douche. tout public. produits d'hygiène : du mardi au jeudi de 14h à 16h30. cartes de douche : du lundi au jeudi de 10h à 12h et de 14h à 16h30 (sauf vendredi après-midi).,"Vie quotidienne, hygiène, douche",Association,Fr,
Caritas alsace antenne du kochersberg-ackerland,Le trèfle - route des romains,67300,Truchtersheim,06 74 60 34 71,,,"Accueil personnalisé. écoute, aide, orientation, aide administrative, accompagnement par bénévoles. tout public en difficulté du kochersberg-ackerland. accueil sur rendez-vous le 2ème et 4ème vendredi du mois.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace antenne du neuhof,8 rue des jésuites,67100,Strasbourg,03 88 40 19 99,Caritasalsace.neuhof@orange.fr,Eil@caritas-alsace.o,"Vestiaire participatif (avec ""pass"" établi par le service accueil). vestiaire gratuit sur prescription d'un accueillant caritas ou d'un ts. vestiaire participatif : lundi de 14h30 à 16h. vestiaire gratuit : vendredi de 14h30 à 16h. (non actualisé)","Vie quotidienne, hygiène, vestiaire",Association,Fr,
Caritas alsace antenne du neuhof,8 rue des jésuites,67100,Strasbourg,03 88 40 19 99,Caritasalsace.neuhof@orange.fr,Accueil@caritas-alsace.org,"Accueil personnalisé. information, orientation par travailleurs sociaux. jeudi de 9h à 11h30 et de 14h à 16h30. (non actualisé)",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace antenne du neuhof,8 rue des jésuites,67000,Strasbourg,03 88 40 19 99,Caritasalsace.neuhof@orange.fr,Eil@caritas-alsace.o,"Alphabétisation, fle (français langue étrangère) sur rendez-vous. aide à la compréhension orale et écrite, aide à la production orale et écrite ainsi qu'un apprentissage culturel. sur rendez-vous.","Insertion, accompagnement social, alphabétisation",Association,Fr,
Caritas alsace antenne du neuhof,8 rue des jésuites,67000,Strasbourg,03 88 40 19 99,Caritasalsace.neuhof@orange.fr,,"Aide alimentaire, en lien avec le service accueil. jeudi 8h30-12h et 14h-16h30.","Vie quotidienne, alimentation, aide alimentaire",Association,Fr,
Caritas alsace boutique alimentaire,3a rue victor hugo,67300,Woerth,03 88 09 52 32,,,Boutique caritas. atelier cuisine une fois par mois. familles adressées par les travailleurs sociaux du secteur. jeudi 13 h 30 - 17 h 30. autre tél. : 06 87 79 05 39,"Vie quotidienne, alimentation, épicerie solidaire",Association,Fr,
Caritas alsace chapelle saint joseph,Avenue du tertre,67200,Obernai,06 87 16 01 67,,,"Accueil personnalisé. écoute, accompagnement, aide, orientation par bénévoles. 1er et 3e samedi de 10h à 11h45",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace maison d'accueil le 30,3 rue dotzinger,67000,Strasbourg,03 88 12 36 24,B.rollin@caritas-alsace.org,Educateur.le30@caritas-alsace.org siteinternet : http://www.caritas-alsace.org,Accueil de public sous main de justice dans le cadre d’un aménagement de peines. maison à caractère familial. atmosphère conviviale. animation de la maison par une équipe de bénévoles. soutien et accompagnement aux démarches de réinsertion des détenus. les personnes intéressées doivent faire une demande par courrier. hommes majeurs sous écrou en orientation par le spip. exclusivement hommes. personnes sous main de justice en phase de préparation à la sortie. détenus en permission de sortir. ouvert toute l'année.,"Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/logement ponctue",Association,Fr,
Caritas alsace pain du partage - epicerie sociale intercommunale,Rue de paris,67100,Geispolsheim,03 88 25 00 83,Epiceriesociale.geispo@caritas-alsace.org,,"Orientation par un travailleur social. commission d’admission. - durée d’accès de trois mois, renouvelables. - les bénéficiaires se doivent de participer à une ou plusieurs actions pédagogiques, éducatives, culturelles : cuisine, gestion du budget familial, classement de papier, alphabétisation, économies d'énergie... tout public en difficulté, domicilié ou résidant dans les communes de geispolsheim, entzheim, holtzheim, plobsheim, lipsheim, eschau, fegersheim, kolbsheim et blaesheim. sur rdv le mercredi 14h - 16h30, le jeudi 9h - 11h30 et 13h30 - 16h.","Vie quotidienne, alimentation, épicerie solidaire",Association,Fr,
Caritas alsace réseau secours catholique,1 rue de la vieille ile,67500,Haguenau,06 46 90 42 25,Caritashaguenau54@gmail.com,,Permanence d'accueil et d'écoute. toute personne en situation de précarité 2e jeudi du mois de 9 h à11 h.,Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,1 rue de la vieille ile,67500,Haguenau,06 46 90 42 25,Caritashaguenau54@gmail.com,,"Alphabétisation, fle, aide à la compréhension et à la production orale et écrite. tout adulte en difficulté. tous les lundis, hors vacances scolaires de 14h à 16h.","Insertion, accompagnement social, alphabétisation",Association,Fr,
Caritas alsace réseau secours catholique,10 rue des sport,67500,Schweighouse-sur-moder,06 74 25 26 09,,,Possibilité d'aide alimentaire. atelier cuisine mensuel. contact : 06 74 25 26 09,"Vie quotidienne, alimentation, aide alimentaire",Association,Fr,
Caritas alsace réseau secours catholique,10 rue des sports,67500,Schweighouse-sur-moder,06 74 25 26 09,,,"Accueil personnalisé. écoute, aide, orientation par bénévoles. groupe de paroles, atelier cuisine, bricolage, pause-café, accompagnement scolaire. samedi tous les 15 jours de 14h30 à 16h. pause café : un temps collectif de partage et d’écoute : le 1er samedi du mois de 14h à 16h.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,11 d rue du général de gaulle,67300,Lingolsheim,03 88 22 76 40,,,"Accueil personnalisé. écoute, aide, orientation par bénévoles. mercredi de 14h à 16h.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,22 rue de la gare,67200,Bischwiller,06 87 23 71 26,,,"Accueil écoute, aide. tout public. 1er et 3e mercredis du mois, 10h-12h. atelier pour les familles le mercredi après-midi.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,3 rue du gal streicher,67100,Molsheim,06 89 65 68 11,,,"Accueil, écoute, accompagnement et aide pour familles en difficulté. accueil tous les jeudis de 14h à 16h.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,4 avenue foch,67500,Rosheim,06 75 48 78 53,,,"Accueil personnalisé. écoute, aide, orientation par bénévoles. 2e et 4e samedi de 9h à 12h.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,7 rue st georges,67200,Sarre-union,06 74 71 41 69,,,"Accueil, écoute, accompagnement, aides. le mardi de 14h à 16h.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,Le patio - 133 grand'rue,67700,Saverne,06 83 09 00 23,,,Lieu d'accueil. le mercredi à partir de 14h30,Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,Place du kaufhaus,67500,Marlenheim,07 78 41 34 38,,,"Accueil, écoute, accompagnement et aide pour familles en difficulté. le 1er et 3e samedi du mois de 10 h à 12 h. le 2e et 4e mercredi du mois de 10 h à 12 h.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,Rue du patronage,67600,Soufflenheim,06 87 13 90 33,,,"Centre socioculturel accueil, écoute et orientation par les bénévoles. sur rdv.",Lieu d'accueil et d'orientation,Association,Fr,
Caritas alsace réseau secours catholique,Rue du patronage,67600,Soufflenheim,06 87 13 90 33,,,Vestiaire. tous les mardis de 18h30 à 19h30.,"Vie quotidienne, hygiène, vestiaire",Association,Fr,
Caritas alsace réseau secours catholique antenne de fegersheim - geispolsheim,5 rue henri ebel,67600,Fegersheim,06 87 12 84 33,,,"Accueil, orientation, aides possibles. le vendredi matin au presbytère, 26 rue de la 1ère division blindée, à eschau (sur rdv uniquement). le dernier jeudi du mois, de 10h à 12h, au foyer paroissial saint joseph, 45 rue du général de gaulle à geispolsheim.",Lieu d'accueil et d'orientation,Association,Fr,
Centre hospitalier général sainte-catherine,19 côte de saverne,67700,Saverne,03 88 71 67 67,Direction@ch-saverne.fr,Http://www.ch-saverne.fr,"Csapa (centre de soins, d'accompagnement et de prévention en addictologie). toutes addictions. consultations hospitalières d'addictologie, consultations jeunes consommateurs (saverne et sarre-union). équipe de liaison et hôpital de jour en addictologie. possibilité d'hospitalisation dans les services de médecine pour des soins résidentiels addictologiques. consultations d'information, de sensibilisation, d'évaluation, à toute personne présentant une addiction à un produit ou sans produit, ainsi qu'un soutien à son entourage. tél. 03 88 71 66 60. fax 03 88 71 66 68 prise en charge pluridisciplinaire des consommateurs à risque et dépendants : alcool, tabac, cannabis, héroïne, cocaïne, médicaments, jeux (d'argent, vidéo), internet... ainsi que leur entourage. consult. sur rdv du lundi au vendredi 9h à 19h, samedi 9h à 12h. permanence tél. : du lundi au vendredi 9h à 19h, samedi 9h à 12h",Accueil et service médicalisés / addictologie,Association,Fr,
Centre hospitalier général ste-catherin,19 côte de saverne bp 20 105,67700,Saverne,03 88 71 67 67,Direction@ch-saverne.fr,Http://www.ch-saverne.fr,"Unité territoriale d'action médico-sociale 39, rue de dettwiller - 67700 saverne tél. : 03 69 33 20 00 - fax : 03 69 33 20 01 dépistage et suivi des maladies pulmonaires par le ch de saverne - service de pneumologie.","Santé, accueil et service médicalisés, dépistage anti-tuberculeux",Association,Fr,
Centre hospitalier général ste-catherine,19 côte de saverne,67700,Saverne,03 88 71 67 67,Direction@ch-saverne.fr,Http://www.ch-saverne.fr,"Consultations du planning familial (service de gynécologie-obstétrique). le mercredi de 10h à 16h. permanence téléphonique : du lundi au vendredi, de 9h à 12h et de 14h à 17h au 03 88 71 65 17",Accueil et service médicalisés/ planning familial,Association,Fr,
Centre hospitalier général de haguenau,64 avenue du professeur leriche,67500,Haguenau,03 88 06 33 33,,Http://www.ch-haguenau.fr,"Accueil assuré par des conseillères conjugales et familiales diplômées. information et écoute concernant la contraception, la sexualité, les ist, les difficultés relationnelles dans le couple ou la famille. entretien gratuit. service de gynécologie et obstétrique. t. 03 88 06 33 33 poste 21 11.lundi de 9h30 à 15h30 sur rendez-vous, mercredi de 10h à 13h",Accueil et service médicalisés/ planning familial,Association,Fr,
Centre hospitalier général de haguenau,64 avenue du professeur leriche,67500,Haguenau,03 88 06 33 33,,Http://www.ch-haguenau.fr,"Unité de prise en charge des addictions (drogues - astus - alcool - tabac) - addiction sans produit - antenne d'accueil et de soins aux toxicomanes et usagers de drogues. tél. 03 88 06 35 01 (secrét). accueil, information, orientation, soins, sevrages, traitement de substitution, aides psychologiques. hôpital de jour, réduction des risques, échange de seringues. accueil et écoute des familles. tout public. personnes en difficulté et leur famille. consultations jeunes consommateurs (alcool, cannabis...). lundi à vendredi de 9h à 19h. pour les jeunes consommateurs : consultation délocalisée à la maison de quartier des pins. pour en bénéficier contacter le service d'addictologie du chh ou directement la maison du quartier.",Accueil et service médicalisés / addictologie,Groupe gouvernemental,Fr,
